"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"205","ENSG00000214900",-1.81207375466529,3.44781376943224,-7.45826684771541,6.71892722745381e-09,9.03083924789079e-08,10.1724256230494,"LINC01588"
"208","ENSG00000215014",-2.42681466257942,-1.14392023748847,-8.88438185117741,9.78951787542791e-11,2.20237977015643e-09,14.3787705572963,"AL645728.1"
"211","ENSG00000215241",-2.52464316729258,-0.563157586490485,-6.17347598528365,3.55877562932308e-07,3.11263390281959e-06,6.23309078754904,"LINC02449"
"213","ENSG00000215374",-2.24058640920372,-1.15706040212715,-9.59984701820656,1.28578047251332e-11,4.10967563783427e-10,16.3976687082489,"FAM66B"
"215","ENSG00000215417",-1.84534139091266,0.99398029655203,-5.74834557141758,1.34549165469835e-06,9.96563977344356e-06,4.91812246599078,"MIR17HG"
"216","ENSG00000215483",-1.50887892036587,0.189236991007434,-6.56807695040025,1.04017683230292e-07,1.02723566514047e-06,7.45187449310852,"LINC00598"
"222","ENSG00000218357",-1.82934700546114,-1.64214964614017,-4.50790576024937,6.30186522490542e-05,0.000319421048206953,1.14129810608943,"LINC01644"
"245","ENSG00000223511",-4.18043368124548,0.0810473519949335,-9.20430242729709,3.91805845445762e-11,1.00507755596971e-09,15.2896528957142,"AL683807.1"
"246","ENSG00000223511",-4.18043368124548,0.0810473519949335,-9.20430242729709,3.91805845445762e-11,1.00507755596971e-09,15.2896528957142,"AL683807.1"
"247","ENSG00000223546",-2.26301235070402,0.462538646230177,-7.84374214675453,2.09574721751214e-09,3.31458967822315e-08,11.3308619374593,"LINC00630"
"253","ENSG00000223660",-1.59910855281512,-2.43328654793292,-4.31399397306405,0.000113365964685985,0.000538296403424312,0.570007411586085,"AC245052.1"
"257","ENSG00000223704",-2.96299695285981,0.36201303309957,-12.2777067018935,1.15906816189237e-14,2.12008685090488e-12,23.3509275686114,"LINC01422"
"261","ENSG00000223745",-2.41060675371984,3.78182340790237,-10.1928883986498,2.51243680256225e-12,1.04651699290885e-10,18.0202425354443,"CCDC18-AS1"
"285","ENSG00000224032",-2.55110776467953,0.623872226190378,-8.55111286415612,2.57565840171701e-10,5.08146162880085e-09,13.4163564845539,"EPB41L4A-AS1"
"286","ENSG00000224034",-1.89442753004955,-0.401725502038433,-4.91403450123304,1.81192331000527e-05,0.000103429597899487,2.35947158729013,"LINC02561"
"292","ENSG00000224137",-1.58064980113077,-1.12312578659011,-3.4674066465284,0.00134172862003683,0.00486188828983199,-1.80826802415388,"LINC01857"
"304","ENSG00000224281",-1.53643277672215,-1.38347150960606,-7.8519889040719,2.04449526868163e-09,3.24573267748816e-08,11.3554871587804,"SLC25A5-AS1"
"314","ENSG00000224478",-1.50981283261089,-2.25984418941791,-4.9145046073543,1.80929199556278e-05,0.000103419720452889,2.36089565855899,"AL356417.1"
"317","ENSG00000224532",-1.68454246124865,-2.37136692227296,-4.8148409640383,2.46097609362385e-05,0.000136948762247031,2.05963760155514,"AL136361.1"
"323","ENSG00000224610",-1.56821806178185,-2.24716749893009,-5.51822630597196,2.7639408349951e-06,1.86643645149669e-05,4.20786101050439,"AC108879.1"
"348","ENSG00000224977",-1.57528265693707,-2.46173294844705,-3.753934137959,0.000593211160820558,0.00234994289413567,-1.02834896733467,"LINC02776"
